ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
1214,Behavior Disorders,"This course introduces students to a range of behavior disorders including anxiety disorders, depressive and bipolar disorders, trauma- and stressor-related disorders, substance-related disorders, schizophrenia spectrum disorders, and personality disorders. The course reviews modern conceptualizations of these disorders based on the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5), emphasizing three areas: (1) assessment, classification, and symptom features; (2) potential causes and risk factors; and (3) evidence-based treatments and interventions to prevent disorders and symptom recurrence. Prerequisite: 171. Restricted to students with junior standing or higher.",340,3,PSYC,PSYC,,,,,,,,,,
1215,Health Psychology,"Health psychology is an exciting interdisciplinary field of study that explores the complex bi-directional relationship between psychological and physical health. This course examines the interactions between chronic medical conditions and psychological factors, such as stress, psychological states, and personality. Students will also learn about strategies for coping with stress and improving health and well-being, as well as the benefits of stress. Prerequisite: 171.",342,3,PSYC,PSYC,,,,,,,,,,
1216,Health Psychology,"Health psychology is an exciting interdisciplinary field of study that explores the complex bi-directional relationship between psychological and physical health. This course examines the interactions between chronic medical conditions and psychological factors, such as stress, psychological states, and personality. Students will also learn about strategies for coping with stress and improving health and well-being, as well as the benefits of stress. Prerequisite: 171.",342,3,PSYC,PSYC,,,,,,,,,,
1217,Sports Psychology,"This course discusses the application of psychological theory and research to sports and recreation. Topics will include motivation, competition and cooperation, arousal, stress and anxiety, group and team dynamics, group cohesion, intrinsic motivation, leadership, imagery, concentration, athletic injuries and psychology, burnout and overtraining, children and sport psychology, and aggression in sports. Prerequisite: 171.",344,3,PSYC,PSYC,,,,,,,,,,
1218,Industrial Psychology,"Psychological principles, concepts, research and methods applicable to industry settings are explored. Topics include personnel selection, placement, training, motivation, social and group factors in work organizations, and human engineering. Prerequisite: 100 or 171.",345,3,PSYC,PSYC,,,,,,,,,,
1219,Psychological Testing,"Psychological Testing explores the history, theory, and methods of measuring human behavior. Students will receive exposure to a variety of representative tests of intelligence, personality, neuropsychological functioning, and more. Strongly recommended for students interested in counseling, clinical, and industrial organization psychology. Prerequisite: 171. Restricted to students with junior standing or higher.",351,3,PSYC,PSYC,,,,,,,,,,
1220,Group Dynamics,"Understanding and competence in practice with a wide variety of treatment and task groups are explored with focal areas on individual group members, the group as a whole, and the group's environment. Generic skills for leading treatment and task groups are developed. Prerequisites: 270, 340.",365,3,PSYC,PSYC,,,,,,,,,,
1221,Positive Psychology,"Although psychology historically focused on negative aspects of life (psychopathology, retardation and aggression), Positive Psychology focuses on the more positive (mental health, creativity and pro-social behavior).  Topics in this course will also include happiness, humor, human strengths, flow, peace, resilience, optimism, empathy and altruism, love and companionship, and relaxation and mindfulness. Emphasis will be on both scientific findings and the application of those findings in ones personal life.  The course will include a significant self-change project. Prerequisite: 100 or 171.",374,3,PSYC,PSYC,,,,,,,,,,
1222,Family Therapy,"An overview of various family forms, the family life cycle, and healthy family functioning will be provided, followed by a review of the major theories of systemic family therapy.  Basic family therapy process and outcome research will be reviewed. The code of ethics will be applied to clinical ethical dilemmas. A role play format will be used to practice basic therapy counseling skills. Prerequisite: 270. Restricted to students with junior standing or higher.",421,3,PSYC,PSYC,,,,,,,,,,
1223,Theories of Counseling,"This course provides an overview of the major theories in the field of counseling and the historical perspectives and philosophies upon which they are based. This includes supervised laboratory experience with role-playing practice to understand the client and counselor roles in treatment strategies and techniques used in psychotherapy.  Prerequisites: 270, 340, or concurrent.",422,3,PSYC,PSYC,,,,,,,,,,
1224,Alcohol and Drug Abuse Professional Issues,"Students in this course will develop a theoretical foundation and effective counseling skills for work in the specialized field of substance abuse disorders. Topics to be covered will include philosophies, practices, policies, and outcomes of the most generally accepted and scientifically supported models of treatment, recovery, relapse prevention, and continuing care for addiction and other substance-related problems. Prerequisites: 205, 270. (Equivalent to ADCT 423.)",423,3,PSYC,PSYC,,,,,,,,,,
1225,Motivational Interviewing,"This course is designed to provide skills training for individuals who are exploring a medical or clinical based career. Motivational Interviewing (MI) is an evidence-based communication strategy that is useful for people who are ambivalent about change. MI has been adapted to a variety of health care settings and currently there are models of MI for physicians, nurses, dietitians, and social workers in addition to counseling professionals. Prerequisite: 171, 270 or NUTR 371. ",424,3,PSYC,PSYC,,,,,,,,,,
1226,History and Systems of Psychology,"This course consists of historical and philosophical development leading to modern psychological views. Prerequisites: 100 or 171; junior standing, and permission of instructor.",425,3,PSYC,PSYC,,,,,,,,,,
1227,Alcohol and Drug Abuse Professional Skills,"This course focuses on the application of assessment and treatment planning to the field of substance abuse. Topics include assessment instruments and procedures, psychosocial interviews, development of behavior treatment goals, record keeping, case management and ethical considerations. Prerequisites: 205. (Equivalent to ADCT 427.)",427,3,PSYC,PSYC,,,,,,,,,,
1228,Behavioral Neuroscience,"Students in Behavioral Neuroscience explore a variety of advanced issues in biopsychology related to both normal and abnormal expressions of behavior through current primary scientific literature. In this seminar-style course, each student works with the instructor to select an appropriate topic of interest and leads the class discussion on this topic and corresponding journal article(s). Example general topic areas include neuroenhancement, neurotoxiclogy, and CNS disorders. Prerequisite: 261 or BIOP 261 or BIOL 353. Restricted to students with junior standing or higher. (Equivalent to BIOP 430.)",430,3,PSYC,PSYC,,,,,,,,,,
1229,Essential Theories in Substance Abuse Counseling,"This course will explore major theories essential for the substance abuse counselor, including by not limited to, motivational interviewing, relapse prevention models, and group dynamics. Humanistic and cognitive behavioral theories will provide the foundation for this course. Prerequisite: 205, 270 or SOWK 280.) (Equivalent to ADCT 464.)",464,3,PSYC,PSYC,,,,,,,,,,
1230,Psychology Practicum,"Non-classroom experiences in the field of psychology plus one hour of class per week. Placements are off-campus, part-time, and with or without pay. Placements will be in agencies providing psychological services, and a mental health professional will be on-site to provide supervision. Students will participate in individual and/or group helping relationships designed to promote movement toward realization of the client's full potential and psychological well-being. Credit for experiences must be sought prior to occurrence, and learning contracts must be submitted before the end of the first week of the semester. Prerequisite: 340. Restricted to students with junior standing or higher. May be repeated for credit. Graded CR/NC.",481,6,PSYC,PSYC,,,,,,,,,,
1231,Special Topics,"Courses on topics of interest to psychology students offered on the basis of need, interest, or timeliness.  Prerequisites as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,4,PSYC,PSYC,,,,,,,,,,
1232,Experiential Learning: Internship,"Non-classroom experiences in the field of psychology. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with junior standing or higher. Graded CR/NC.",487,9,PSYC,PSYC,,,,,,,,,,
1233,Independent Study,Independent reading and/or research under the supervision of a psychology faculty member. Refer to the academic policy section for independent study policy. An independent study contract is required. May be repeated for credit.,488,3,PSYC,PSYC,,,,,,,,,,
1234,Advanced Research,Students will carry out a research project. This may involve implementing the research they developed in 330 or developing a new project. The course includes a one-hour meeting of all students each week with the faculty directing the course. Prerequisite: PSYC 330. Restricted to students with junior standing or higher. May be repeated for credit. (Equivalent to ADCT 489.),489,4,PSYC,PSYC,,,,,,,,,,
1235,Psychology Capstone,"In the capstone course, students reflect on their learning in their major and identify their future goals. Students prepare a formal report in APA style of their internship, practicum, or advanced research experience, and present it to a scholarly audience. Students also explore career and graduate study options, and develop materials (e.g., C.V., cover letter) to assist them in their search for employment or graduate school opportunities. Restricted to students with junior standing or higher. Prerequisite: 481 or 487 or 489. ",499,1,PSYC,PSYC,,,,,,,,,,
1236,Introduction to Theology,"This class is designed to familiarize students with Christian tradition-its scripture, history, and documents-as well as with the resources and methods of Christian theology. It provides a foundation of readings and skills to prepare students for the further study of theology. Restricted to students with freshman and sophomore standing. May not also take RLST-342. TI",160,3,RLST,RLST,,,,,,,,,,
1237,Biblical Studies I,"This course is the first two years of a four-year a School of Biblical Studies. Year one offers Old Testament foundations: Genesis through 1 & 1 Kings discussing Creation, Abrahamic covenant, Moses and the exodus and the establishment of the nation and kingdom of Israel. Year two offers an introduction to the New Testament foundations: the Gospels and the life of Christ, early church development (Act of the Apostles), substantive Pauline literature (1 & 2 Corinthians, Romans), and a review of the Book of Revelation. Restricted to students in the Diocesan School of Biblical Studies. May be repeated once for credit. Graded CR/NC.",215,3,RLST,RLST,,,,,,,,,,
1238,Biblical Studies II,"This course is the last two years of a four-year program supported by the La Crosse Diocesan School of Biblical Studies. Year three offers the Old Testament history: the Babylonian captivity, the work of the major and Minor prophets, and the return from exile. Year four offers an introduction to the poetry and wisdom of the Old Testament, a review of the Gospel of Matthew, the Pauline pastoral letters, and the Catholic Epistles. A brief review of the Epistle to the Hebrews will conclude this course. Restricted to students in the Diocesan School of Biblical Studies. May be repeated once for credit. Graded CR/NC.",216,3,RLST,RLST,,,,,,,,,,
1239,Survey of Biblical Literature,"This course will review the history and writings of the Old Testament and New Testament of Christian sacred scriptures. A brief overview of the history and content of each book of the Bible and a general outline of each will be presented. Major narratives in both testaments will serve to explain the Christian worldview and the high regard many Christians have for the Holy Bible. Prerequisite: 160, 342, or VUSM 120. IFP",222,3,RLST,RLST,,,,,,,,,,
1240,Christian Spirituality,"A survey of the development of Christian spirituality through the study of selected spiritual writers. The course will expose students to the variety themes of Christian spirituality as well as the manner with which various historical contexts responded to those themes. Students will be led through primary sources as an exploration of the development of Christian spirituality throughout history. Prerequisites: 160, 342, or VUSM 120. IFP",223,3,RLST,RLST,,,,,,,,,,
1241,Theological Foundations of Franciscan Leadership,"Franciscan Leadership is a course designed to prepare students to be sound Christian leaders in the world. The Franciscan leader is defined as one who leads as Francis did, whose model for leadership was Jesus Christ in the gospels. Leading by selflessly serving others, as both Francis and Jesus did, distinguishes the Franciscan leader from the person who leads because of a desire to acquire power or some other advantage over others. The course will use scriptural understandings of leadership, and the writings of Francis and the Franciscans, to show a distinctive kind of selfless leadership. Students will find that there is much overlap between a scriptural approach to the leadership of Jesus, and leadership lived out by Francis and modern-day Franciscans. Concepts that students will come away with include: leadership as service; the common good; acceptance and empathy; moral leadership; community. Prerequisites: 160, 342, or VUSM-120. IFP",262,3,RLST,RLST,,,,,,,,,,
1242,Special Topics,"Courses on topics of interest to religious   studies students offered on the basis of need, interest, or timeliness. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,RLST,RLST,,,,,,,,,,
1243,Experiential Learning: Internship,"Non-classroom experience in the field of  ministry. Credit for experience must be sought prior to occurence. Placements are generally part-time and off campus. Course includes theological preparation and reflection on the experience. Areas of ministry include children, youth, adults, aged, sick, dying, needy, etc. Prerequisite: six RLST credits. Restricted to students with freshman or sophomore standing. Permission of instructor required. Graded CR/NC.",287,3,RLST,RLST,,,,,,,,,,
1244,Independent Study,"With the consent of chairperson and in  consulation with a faculty member in the department, a student may engage in independent study in any of the areas approved by the instructor. Goals and objectives, and courses of study are to be set up before the student finalizes reqistration. Refer to the academic policy section for independent study policy. An Independent Study Contract is required. Prerequisites: 102 or 130. May be repeated for credit.",288,3,RLST,RLST,,,,,,,,,,
1245,Theology for the Adult Learner,"Designed specifically for the adult student, this course is an examination of critical Christian doctrines and theological concepts, that ground the Catholic, Franciscan, and liberal arts identity of Viterbo University. This course will explore the life of Francis of Assisi as a unique way of considering how theology influences the Christian worldview.",305,3,RLST,RLST,,,,,,,,,,
1246,The Gospels,"A comprehensive exploration and study of the canonical Gospels and their place within Christianity. Prerequisite: 160, 342, or VUSM 120. IFP",311,3,RLST,RLST,,,,,,,,,,
1247,Theological Perspectives in Film,"As Christians, we believe that God is in all things. Often it is difficult to see God in the world. This course uses films (and similar media) to help participants develop and ability to recognize theological and Christian themes and practice methods of theological reflection. A variety of films will be shown, rated G-R, on themes of sacrifice, vocation, leadership, forgiveness, love, family, faith, and Catholic tradition. Prerequisite: 160, 342, or VUSM 120. Restricted to religious studies and philosophy majors and minors and to students in the honors program. IFP",317,3,RLST,RLST,,,,,,,,,,
1248,Church History I Age of the Apostles to the Reformation,"A survey of the history of the Christian Church: its leaders, conflicts and development from the age of the Apostles to contemporary times. Prerequisite: 160, 342, or VUSM-120. IFP",331,3,RLST,RLST,,,,,,,,,,
1249,Foundations for Christian Theology,"This course of study will focus on the systemic nature of Christian doctrine and its theological application in the life of the Christian Church. The theological and doctrinal life of the church from the first century to the present era will be reviewed with special emphasis on contemporary developments. As a Catholic, Franciscan, ecumenical University, this Viterbo course will emphasize the unique Christian theological experience and its application to personal and communal life. Christian morality, and spirituality will explain the Christian worldview as it intersects with the secular age. Restricted to students with junior standing or higher. May not also take RLST-160. TI",342,3,RLST,RLST,,,,,,,,,,
1250,Theology of Justice and Peace,"A study of the meaning of justice and peace: in the Biblical context, in social encyclicals and in our lives as Christians today. An examination of forms of violence and oppression in persons and in structures. Emphasis on possible positive responses: acting justly, making peace, liberating the oppressed. Prerequisite: 160, 342, or VUSM 120. IFP",343,3,RLST,RLST,,,,,,,,,,
1251,Catholic Ecclesiology,"The place of community in religious experience; the question of leadership, authority, membership, ministry, and life within the Catholic community. Issues particular to the Catholic Church in the world today. Prerequisite: 160, 342, or VUSM 120. IFP",345,3,RLST,RLST,,,,,,,,,,
1252,Franciscan Theology,"A survey of the major theological contributions of the Franciscan intellectual tradition that include the writings of Bonaventure, Scouts, and Occam. A study of the impact Franciscan thought has had on global Roman Catholicism. Prerequisite: 160, 342, or VUSM 120. IFP",348,3,RLST,RLST,,,,,,,,,,
1253,Women and Religion,"This course will examine historical, contemporary and emergent roles of women in communities of religous thought and practice, and will analyze systemic issues regarding gender, class, race, and ethnicity. It will investigate the ways in which women understand themselves in relationship to the divine, to the call to wholeness, and to worship. Prerequisite: 160, 342, or VUSM 120. IFP",352,3,RLST,RLST,,,,,,,,,,
1254,Theology of Pastoral Leadership,"A historical overview of ministry and leadership in the Church. An exploration of ordained and non-ordained ministry and the emergence of ecclesial ministers in the Church today. Special attention will be given to ministries on the laity including religious educators and youth ministers. Prerequisite: 160, 342, or VUSM 120.",360,3,RLST,RLST,,,,,,,,,,
1255,Environmental Spirituality,"A course rooted in Biblical, Franciscan, and Catholic social teaching heritages which explores a spirituality that supports a Christian response to environmental issues. Social analysis and theological reflection skill development will enable students to make appropriate life choices and contribute to the health of the planet. Prerequisite: 160, 342, or VUSM 120. IFP",380,3,RLST,RLST,,,,,,,,,,
1256,Christology,"A selective survey on how Christian tradition has viewed Jesus Christ from Biblical to modern times; the centrality of the role and mission of Jesus for contemporary persons. A study of Biblical and contemporary metaphors for Jesus. Prerequisite: 160, 342, or VUSM 120. IFP",425,3,RLST,RLST,,,,,,,,,,
1257,Faith and Practice of World Religions,"Faith and Practice in World Religions is a course introducing students to diverse religious traditions. Coursework will review various faith practices in their contemporary applications. Students will explore the academic study of religion, reviewing the hallowed stories of sacred writings, aesthetic symbols, rites of passages, and ethical standards of popular and ancient religious traditions. This course of study will provide students a framework within which to reflect on their own experiences. Religions introduced include Judaism, Christianity, Old Order Amish, Latter Day Saints, Jehovah's Witnesses, Hinduism, Buddhism, Islam, Taoism, Wicca, Native American spirituality, and American-created cults and aberrations. Prerequisite: 160, 342, or VUSM 120. Restricted to students with junior standing or higher. IFP",433,3,RLST,RLST,,,,,,,,,,
1258,The Christian Sacraments,"Religious rites have celebrated initiation, adulthood, guilt and reconciliation, ministry and commitment, sickness and death. A consideration of the religious person's response to the Divine in sacramental celebrations. Prerequisite: 160, 342, or VUSM 120. IFP",450,3,RLST,RLST,,,,,,,,,,
1259,Christian Morality,"This course delves into the processes of moral interpretation and moral decision making. Students will understand the moral decision-making process and the various ways in which the moral decision-making process is utilized. They will look critically at various church documents which speak to specific moral issues. Students will be expected to be able to apply the processes they have learned to various moral issues. Prerequisite: 160, 342, or VUSM 120. IFP",465,3,RLST,RLST,,,,,,,,,,
1260,Senior Thesis Seminar,"This two semester course requires the student to work closely with two religious studies professors writing a major research paper that integrates historical, practical, exegetical, and systematic theology in a paper presented in a public arena. Student will enroll for one credit in the first semester and two credits in the second semester. This course is designed for religious studies majors and minors. Prerequisite: 160 or 342, or VUSM 120. May be repeated for credit.",481,2,RLST,RLST,,,,,,,,,,
1261,Special Topics,"Courses on topics of interest to religious   studies students offered on the basis of need, interest, or timeliness. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,RLST,RLST,,,,,,,,,,
1262,Experiential Learning: Internship,"Non-classroom experiences in the field of ministry. Placements are off-campus, and may be full- or part-time, and with or without pay. Includes internship experience arranged by advisor during the first semster of senior year. Prerequisites: 260, 360. Restricted to students with junior standing or higher. Graded CR/NC.",487,12,RLST,RLST,,,,,,,,,,
1263,Independent Study,"With the consent of chairperson and in  consulation with a faculty member in the department, a student may engage in independent study in any of the areas approved by the instructor. Goals and objectives, and courses of study are to be set up before the student finalizes reqistration. Refer to the academic policy section for independent study policy. An independent study contract is required. Prerequisites: 102 or 130. May be repeated for credit.",488,3,RLST,RLST,,,,,,,,,,
1264,Service Learning Requirement,,XXX,0,SERV,VPAA,,,,,,,,,,
1265,Introduction to Sociology,This course will introduce students to the theories and scientific methods that sociologists use to explain human behavior and describe the organization of society.  Students will acquire a sociological perspective to analyze how individuals are products of their social environments.  Students will also examine the social patterns that comprise systems of social inequality and major social institutions within contemporary American society. SS,125,3,SOCL,SOCL,,,,,,,,,,
1266,Human Service Experience,"This volunteer experience requires a minimum of 30 hours in the community. The human service agency setting is selected by the instructor and the students in the course. SOCL 149 satisfies the general education, community skills-service learning requirement for criminal justice majors. Sociology majors are required to take 149 and 249 to satisfy this requirement. Only three combined credits of 149, 249, and 349 will count toward the sociology major. Graded CR/NC.",149,1,SOCL,SOCL,,,,,,,,,,
1267,Introduction to Criminal Justice,"This course will provide students with an overview of the criminal justice system. The structure and function of the police, courts, and corrections, as well as the policies these agencies use to control crime, will be examined. Students will also debate controversial issues related to criminal justice processing and compare the ideal of justice with the reality under this system. (Equivalent to CRMJ 150.)",150,3,SOCL,SOCL,,,,,,,,,,
1268,Applied Statistics for the Social Sciences,"Applied Statistics prepares students to understand and conduct data analysis in any discipline involving scientific research. Descriptive techniques and related concepts include visual display of data, measures of central tendency, and variability. Inferential techniques and related concepts include probability, hypothesis testing, effect size, and confidence intervals. Particular emphasis will be placed on statistical tests in the general linear model (e.g., t-tests, correlation and regression, and ANOVA.) Students will learn to use statistical software including spreadsheets and SPSS.  Not open to students who are enrolled in or have earned credits in MATH 130 or 230. Prerequisite: acceptable math placement score or grade of C or higher in MATH 001 or 091. (Equivalent to SOCL 223.) QL",223,3,SOCL,SOCL,,,,,,,,,,
1269,Social Gerontology,"This course is an introduction to the field of gerontology. It is multidisciplinary, examining biological, psychological, and sociological issues related to the aging process. Major theories, research methods and concepts in the field of gerontology will be addressed. Cultural and historical changes related to the treatment of the elderly, common stereotypes and attitudes toward aging, and cross-cultural differences will also be addressed in this course. Future issues and trends in Gerontology will be discussed. This course will be one of the courses required in the Gerontology minor. Restricted to students with freshman or sophomore standing. SS",244,3,SOCL,SOCL,,,,,,,,,,
1270,Sociology of Sports,"This course will examine the social aspects of sports and how sports are a social construction that influences how people think, feel, and behave. This course will address various aspects of sports such as social and cultural values, children and sports, stratification in sport, minorities and gender issues in sports, as well as contemporary trends in the field. Finally, this course will examine the relationship between various institutions and sport (family, religion, politics, economy, mass media) as well as social problems in sport.",245,3,SOCL,SOCL,,,,,,,,,,
1271,Human Service Experience,"VThis volunteer experience requires a minimum of 30 hours in the community. The human service agency setting is selected by the instructor and the students in the course. SOCL 149 and 249 satisfies the general education, community skills-service learning requirement for sociology majors. Only three combined credits of 149, 249, 349 will count toward the sociology major. Graded CR/NC.",249,1,SOCL,SOCL,,,,,,,,,,
1272,Seminar I,"The primary purpose of this course is to assist students with the development of written and oral communication skills for an academic audience. Emphasis is placed on conducting a scholarly literature review that will result in a written paper and oral presentation. A secondary goal of this course is to assist students with career preparation in the fields of criminal justice and sociology. Students will explore career options in their chosen field, plan for the required internship experience, draft a professional resume and cover letter, practice professional interview skills, and learn about graduate school options.(Equivalent to CRMJ 265.) WCII, OC",265,3,SOCL,SOCL,,,,,,,,,,
1273,Special Topics,"Courses on topics of interest to sociology students offered on the basis of need, interest, or timeliness.  Prerequisite: 125. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,SOCL,SOCL,,,,,,,,,,
1274,Experiential Learning: Internship,"Non-classroom experiences in the field of sociology. Placements are off-campus, and may be  full- or part-time, and with or without pay.  Credit for experiences must be sought prior to  occurance, and learning contracts must be  submitted before the end of the first week of the  semester. See the Experiential Learning:  Internship section of this catalog for more  details. Senior standing required. Graded CR/NC.",287,6,SOCL,SOCL,,,,,,,,,,
1275,Independent Study,Independent reading and/or research under the supervision of a faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: 125. May be repeated for credit.,288,3,SOCL,SOCL,,,,,,,,,,
1276,Sociology of Gender,"This course is designed to provide students with a sociological framework for analyzing gender arrangements in contemporary American society.  It will examine the significance of social forces in shaping differences between men and women as well as the social problems created by rigid gender expectations.  It will also explore gender inequality within major social institutions, focusing on men's'and women's different experiences of and opportunities within work, family, sexuality, and medicine. Prerequisite: 125. SS",310,3,SOCL,SOCL,,,,,,,,,,
1277,Racial and Ethnic Groups,"Major ethnic, racial, and religious groups of the U.S.; majority-minority relations; conflicts and changing relations with the dominant culture; nature of prejudice and discrimination and their effects; alternative policies and strategies in contemporary America; exploration of personal attitudes regarding human relations issues. Prerequisite: any 100-level VUSM course or transfer student placement. LDW, SS",320,3,SOCL,SOCL,,,,,,,,,,
1278,Cultural Anthropology,"Culture of pre-literate and contemporary societies. Concept of culture; elements of culture, including technology, economic and political organization, family and kinship, associations, ideology, arts, and language; dynamics of culture stability and change. SS",330,3,SOCL,SOCL,,,,,,,,,,
1279,Quantitative Research Methods,"This course provides an introduction to the scientific methods of conducting social research. Students will develop skills in measuring variables, drawing samples, designing data collection instruments, analyzing data, and writing and presenting scholarly reports. Students will also use this knowledge to critically evaluate the research of others. Prerequisite: 125. Restricted to students with junior standing or higher.",338,3,SOCL,SOCL,,,,,,,,,,
1280,Social Gerontology,"This course is an introduction to the field of gerontology. It is multidisciplinary, examining biological, psychological, and sociological issues related to the aging process. Major theories, research methods and concepts in the field of gerontology will be addressed. Cultural and historical changes related to the treatment of the elderly, common stereotypes and attitudes toward aging, and cross-cultural differences will also be addressed in this course. Future issues and trends in gerontology will be discussed. This course will be one of the courses required in the Gerontology minor. Restricted to students with junior or senior standing. SS",344,3,SOCL,SOCL,,,,,,,,,,
1281,Marriage and Family,"Marriage-family complex as a social institution: variations, interrelationship of family to other social institutions, dating, marriage, childraising, divorce, death, and remarriage, contemporary issues in marriage and family life, and future of marriage and family. This course will empower the student to make more informed decisions about marriage and family life choices. SS",345,3,SOCL,SOCL,,,,,,,,,,
1282,Human Service Experience,"This volunteer experience requires a minimum of 30 hours in the community. The human service agency setting is selected by the instructor and the students in the course. Only three combined credits of 149, 249, 349 will count toward the sociology major. Prerequisites: 149, 249. May be repeated for credit. Graded CR/NC.",349,1,SOCL,SOCL,,,,,,,,,,
1283,Crime and Delinquency,"This course will examine the nature, extent, and causes of criminal and delinquent behavior from a sociological perspective.  Trends in offending and victimization, including research on violent crime, property crime, public order crime, organized crime, and white collar crime will be covered.  The major theoretical explanations of criminal and delinquent behavior will also be explored. Prerequisite: 125 or 150 or CRMJ 150. (Equivalent to CRMJ 351) SS",351,3,SOCL,SOCL,,,,,,,,,,
1284,Social Change and Social Movements,"This course provides an introduction to the field of collective behavior. It will examine contemporary and historical social movements, particularly those used to address social injustices. Theoretical perspectives used to explain and predict movements will be examined. Topics may include movements of the 1960s (e.g., Civil Rights, Black Power, American Indian, Women, Gays and Lesbians, etc.), as well as more contemporary movements (e.g., Environmental, the New American Right, Global Justice, etc.)",354,3,SOCL,SOCL,,,,,,,,,,
1285,Environmental Sociology,"This course will examine various environmental issues connected with contemporary society. It will address the connections, relationships and interactions between society and the environment. The major theoretical perspectives and methods used by sociologists to understand environmental issues will be explored. It will examine large social structures and organizations and how individuals affect nature and the environment. The impact of globalization on the environment, and its influence on diverse peoples will be discussed. Other topics may include population growth, sustainability, environmental justice and racism, social policy, humans' relationship with the natural environment, and activism related to environmental movements.",359,3,SOCL,SOCL,,,,,,,,,,
1286,Juvenile Justice,"This course is designed to give students an introduction to the field of juvenile justice. It will focus of the relationship between youth as victims and as offenders, the role of the juvenile justice system, delinquents' rights, and traditional and alternative ways of dealing with juvenile crime. It will briefly examine the social and etiological features of delinquency. (Equivalent to CRMJ 364.)",364,3,SOCL,SOCL,,,,,,,,,,
1287,Sociological Theory,The study and critique of sociological theory from Comte to the present: major theorists and schools of thought. Prerequisite: 125. Restricted to students with junior standing or higher.,430,3,SOCL,SOCL,,,,,,,,,,
1288,Seminar II,"This course is designed to facilitate the transition from the college classroom to the professional world or graduate school. Students will use the skills, knowledge, and lessons from their undergraduate criminal justice and sociology major courses to design and execute an original research project and disseminate the results of their research to the public via poster presentations. In addition, students will reflect on their personal and academic time at Viterbo University. Students will then engage in reflective writings on how they will apply their Viterbo experience to their post-college professional and/or academic lives. Prerequisite: 338. Restricted to students with junior standing or higher. (Equivalent to CRMJ 465.)",465,3,SOCL,SOCL,,,,,,,,,,
1289,Special Topics,"Courses on topics of interest to sociology students offered on the basis of need, interest, or timeliness.  Prerequisite: 125. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,SOCL,SOCL,,,,,,,,,,
1290,Experiential Learning: Internship,"Non-classroom experiences in the field of sociology. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with senior standing. Graded CR/NC.",487,12,SOCL,SOCL,,,,,,,,,,
1291,Independent Study,Independent reading and/or research under the supervision of a faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: 125. May be repeated for credit.,488,3,SOCL,SOCL,,,,,,,,,,
1292,Introduction to Social Work,"This course introduces students to the profession of social work within contemporary society including the historical, social, economic, and political context of social work practice. Students develop an understanding of the connection between social work practice and social welfare policy. Social work values and ethics, including the profession's commitment to social justice and valuing of diversity, will be emphasized. Students are introduced to the social service delivery system, the person-in-environment perspective, and generalist social work practice. The course will help students consider the social work profession as a career choice. SS",210,3,SOWK,SOWK,,,,,,,,,,
1293,Introduction to Research and Analytical Writing,"This sophomore level writing emphasis course introduces social work students to the research process, critical thinking, and analytic writing. Students will learn to critically read and evaluate sources and scholarly writing. Emphasis will be placed on learning to write in APA style. An overview and basic understanding of the scientific research process, with an emphasis on quantitative research is stressed. Ethical issues in human subject research and evidence based practice in social work are examined. This is the first course in a two-course research sequence required for social work majors. Prerequisite: ENGL 104 or 105 or 195. Restricted to social work majors. WCII, IL.",240,3,SOWK,SOWK,,,,,,,,,,
1294,Introduction to Professional Practice,"Usually taken in the sophomore year, this course explores the diverse field of social work practice in and outside the classroom through service in a social service agency. Generalist social work is introduced including strength and empowerment based practice. Students examine the congruence of personal values with professional values, study social work ethics and learn about professional boundaries. Diversity and underserved client populations encountered in social work are discussed. Students will develop an awareness of professional identity, expectations, and practice that integrates the knowledge, values and skills of a social worker. Prerequisite: 210 or concurrent enrollment. OC",275,3,SOWK,SOWK,,,,,,,,,,
1295,Interview Skills for Social Work,"Students will learn essential interviewing skills for empowering and strengths-based social work practice. Motivational and solution-focused skills necessary for ethical practice in using the planned change process are defined, modeled, rehearsed, and evaluated. Emphasis is placed in developing cross-cultural practice skills sensitive to the needs of diverse and vulnerable populations. The course includes a structured lab with recorded interviews, instructor, and peer evaluations. Prerequisites: 210, admission to the social work program. ",280,3,SOWK,SOWK,,,,,,,,,,
